market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_REGIONAL_K5_TAU0.50	1	0	D	Optimal	true	51976.3668796298	0.000000000	0.017037	1.0000000000	9	0|3|4|8|10|11|12|13|14	763.2685338323	49416.7219247659	11244.3805479871	70700.7859989492	84179.9817454581	119342.7091301962	0.0370282779	5025.7492808888
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_REGIONAL_K5_TAU0.50	1	0	SAA	Optimal	true	67726.6360824807	0.000000000	2.283054	60.0000000000	11	0|3|4|7|8|9|10|11|12|13|14	763.2685338323	52971.2755745786	9182.0755599909	70221.8134413662	81542.7360421898	106411.1169383603	0.0191783701	9912.0350170402
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_REGIONAL_K5_TAU0.50	1	0	CSAA	Optimal	true	59906.6846274297	0.000000000	2.305303	34.1377934519	10	0|1|3|4|8|10|11|12|13|14	763.2685338323	50163.5087983726	10772.3476716790	70954.4293402533	83541.0835840278	119706.5492848455	0.0303218906	6269.3025439920
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_REGIONAL_K5_TAU0.50	1	0	C-CHI2	PrimalFeasible	true	65939.1477686800	0.000000000	22.397726	34.1377934519	11	0|3|4|7|8|9|10|11|12|13|14	763.2685338323	52971.2755745786	9182.0755599909	70221.8134413662	81542.7360421898	106411.1169383603	0.0191783701	9912.0350170402
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_REGIONAL_K5_TAU0.50	1	0	ORACLE	Optimal	true	47562.5966695587	0.000000000	13.129813	100.0000000000	8	0|1|8|10|11|12|13|14	763.2685338323	49156.4844684345	13299.2030292389	74884.0757551090	89556.5517376016	144000.6615523338	0.0594755966	2355.3273221624
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_REGIONAL_K5_TAU0.50	1	1	D	Optimal	true	51976.3668796298	0.000000000	0.017037	1.0000000000	9	0|3|4|8|10|11|12|13|14	598.9604495079	41179.9397395602	6026.9905337963	53819.4478242424	59517.5595706952	78248.0820228927	0.0182021598	7607.6617536271
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_REGIONAL_K5_TAU0.50	1	1	SAA	Optimal	true	67726.6360824807	0.000000000	2.283054	60.0000000000	11	0|3|4|7|8|9|10|11|12|13|14	598.9604495079	45693.0377378454	4976.3533390288	54711.7977023592	59985.9262686435	78936.6945422248	0.0073111886	12754.0351536810
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_REGIONAL_K5_TAU0.50	1	1	CSAA	Optimal	true	56470.4549396037	0.000000000	2.506552	40.4430620241	10	0|1|4|8|9|10|11|12|13|14	598.9604495079	42100.3097410067	5562.1165418808	53660.2218432869	58965.2826495762	75076.9953384948	0.0125906676	8517.4028011117
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_REGIONAL_K5_TAU0.50	1	1	C-CHI2	PrimalFeasible	true	62213.2981760793	0.000000000	14.038526	40.4430620241	11	0|1|4|7|8|9|10|11|12|13|14	598.9604495079	45062.3682522972	5039.0898730353	54336.7243318755	59565.5420443848	78432.4398454288	0.0071166992	11750.0975915354
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_REGIONAL_K5_TAU0.50	1	1	ORACLE	Optimal	true	38395.9241807827	0.000000000	13.053908	100.0000000000	6	4|8|10|11|13|14	598.9604495079	38197.0859897624	8494.7182441287	55484.5521944546	63895.9148954474	77081.7899087172	0.0536480756	1873.1254761108
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_REGIONAL_K5_TAU0.50	1	2	D	Optimal	true	51976.3668796298	0.000000000	0.017037	1.0000000000	9	0|3|4|8|10|11|12|13|14	1202.2317001666	85765.3647536984	28368.5200039257	141000.0311071174	158966.7166268045	192882.5102843017	0.1335499804	555.3568754585
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_REGIONAL_K5_TAU0.50	1	2	SAA	Optimal	true	67726.6360824807	0.000000000	2.283054	60.0000000000	11	0|3|4|7|8|9|10|11|12|13|14	1202.2317001666	81384.7027380793	23592.4995308456	130179.5409036469	146213.3929379513	169826.4934215865	0.0793462083	2993.0487179039
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_REGIONAL_K5_TAU0.50	1	2	CSAA	Optimal	true	74301.9944208538	0.000000000	1.596769	36.6161248370	11	0|3|4|7|8|9|10|11|12|13|14	1202.2317001666	81384.7027380793	23592.4995308456	130179.5409036469	146213.3929379513	169826.4934215865	0.0793462083	2993.0487179039
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_REGIONAL_K5_TAU0.50	1	2	ORACLE	Optimal	true	80394.8947087283	0.000000000	6.447846	100.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	1202.2317001666	81526.5533393709	24144.8856223804	130642.9430327004	147299.7601168708	180732.0628471588	0.0789965934	2300.2404167472
