replication	mqc_scale	sample	demand_type	total_demand	selected_count	selected	objective	transport_cost	spot_cost	mqc_penalty	spot_quantity	mqc_shortfall	status	certified	gap
1	1.50	0	REALIZED	2294.5609342973	9	1|2|3|4|5|7|8|9|11	153148.7481025775	137408.1761761050	15740.5719264726	0.0000000000	114.1445811750	0.0000000000	Optimal	true	0.000000000
1	1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	1|2|3|4|5|7|8|9|10	130915.6890874888	129467.0142908856	1448.6747966032	0.0000000000	16.0394739790	0.0000000000	Optimal	true	0.000000000
1	1.50	1	REALIZED	1235.6231319459	5	1|2|3|4|5	66662.7529710458	62835.0660350529	3827.6869359929	0.0000000000	56.1350664600	0.0000000000	Optimal	true	0.000000000
1	1.50	1	CONDITIONAL_MEAN	1637.1150058755	7	1|2|3|4|5|8|9	88804.3799667089	86304.5898242597	2499.7901424492	0.0000000000	35.1395541324	0.0000000000	Optimal	true	0.000000000
1	1.50	2	REALIZED	2083.6705462960	8	1|2|3|4|5|7|8|9	119017.0009908042	103504.2126824340	15512.7883083702	0.0000000000	132.0038945684	0.0000000000	Optimal	true	0.000000000
1	1.50	2	CONDITIONAL_MEAN	2390.8014182625	9	1|2|3|4|5|7|8|9|10	136902.7533047456	132266.1862691916	4636.5670355539	0.0000000000	45.6122486203	0.0000000000	Optimal	true	0.000000000
1	1.50	3	REALIZED	1292.3634913728	6	4|5|7|8|9|11	103267.0044478440	74179.0563210687	24526.5223310957	4561.4257956795	136.9651088027	172.1673657222	Optimal	true	0.000000000
1	1.50	3	CONDITIONAL_MEAN	1591.8214963140	6	2|3|4|5|8|9	86209.6063636994	82630.0637414295	3579.5426222699	0.0000000000	44.5254460794	0.0000000000	Optimal	true	0.000000000
1	1.50	4	REALIZED	1861.8071150180	8	1|2|3|4|5|6|8|9	103168.6053877942	95582.2804228225	7586.3249649717	0.0000000000	52.9732817817	0.0000000000	Optimal	true	0.000000000
1	1.50	4	CONDITIONAL_MEAN	1663.6590493040	7	2|3|4|5|8|9|10	90551.9918619882	89787.5344920651	764.4573699231	0.0000000000	8.5900351077	0.0000000000	Optimal	true	0.000000000
1	1.50	5	REALIZED	1729.0567843884	7	1|2|3|4|5|8|9	90911.8870784041	90522.6649117088	389.2221666953	0.0000000000	2.5121925439	0.0000000000	Optimal	true	0.000000000
